1   -0.45   -0.41   2   1.09    0.45    1
2   -0.56   -0.31   3   1.51    0.16    1
4   0.06    0.02    3   1.01    0.4     1
1   -0.07   -0.09   2   1.45    0.26    1
1   -0.1    -0.09   2   1.56    0.67    1
2   -0.14   -0.07   3   0.71    0.28    1
2   0.04    0.01    2   1.5     0.71    1
1   -0.07   -0.06   2   1.37    0.4     1
1   0.07    -0.01   2   1.37    0.34    1
5   -0.14   -0.14   2   1.42    0.43    1
1   -0.23   -0.3    2   0.33    0.18    1
1   0.07    0.02    3   1.31    0.25    1
4   0.01    0       3   2.15    0.7     1
2   -0.28   -0.23   2   1.19    0.66    1  
1   0.15    0.05    2   1.88    0.27    1
1   0.37    0.11    1   1.99    0.38    1
2   -0.08   -0.08   3   1.51    0.42    1
1   0.05    0.03    3   1.68    0.95    1
2   0.01    0       3   1.26    0.6     1
2   0.12    0.11    2   1.14    0.17    1
2   -0.28   -0.27   3   1.27    0.51    1
2   0.51    0.1     2   2.49    0.54    2
5   0.08    0.02    1   2.01    0.53    2
3   0.38    0.11    3   3.27    0.35    2
5   0.19    0.05    1   2.25    0.33    2
5   0.32    0.07    1   4.24    0.63    2
5   0.31    0.05    2   4.45    0.69    2
3   0.12    0.05    1   2.52    0.69    2
3   -0.02   0.02    3   2.05    0.35    2 
3   0.22    0.08    1   2.35    0.4     2
2   0.17    0.07    1   1.8     0.52    2
4   0.15    0.05    1   2.17    0.55    2
3   -0.1    -0.01   1   2.5     0.58    2
4   0.14    -0.03   3   0.46    0.26    2
5   0.14    0.07    3   2.61    0.52    2
4   0.15    0.06    1   2.23    0.56    2
1   0.16    0.05    2   2.31    0.2     2
5   0.29    0.06    1   1.84    0.38    2
5   0.54    0.11    1   2.33    0.48    2
4   -0.33   -0.09   3   3.01    0.47    2
3   0.48    0.09    1   1.24    0.18    2
5   0.56    0.11    2   4.29    0.44    2
2   0.2     0.08    2   1.99    0.3     2
1   0.47    0.14    1   2.92    0.45    2
4   0.17    0.04    1   2.45    0.14    2
5   0.58    0.04    3   5.06    0.13    2

