100,45,100,209,65,8,201,32,23,147,231,611,189,72,5,5,189,195,1
100,51,109,231,70,11,220,30,25,163,238,722,206,73,11,19,189,198,1
102,43,96,197,63,10,185,36,22,142,202,513,139,65,8,12,195,204,1
80,34,42,110,57,3,114,59,17,119,131,191,121,87,4,7,179,183,1
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,1
104,54,91,209,67,11,218,31,24,170,223,697,196,74,4,21,187,196,1
84,40,71,131,55,7,150,45,19,134,167,330,165,80,12,1,180,186,1
103,54,107,218,64,12,222,30,25,174,221,728,199,67,0,18,189,200,1
101,55,107,200,61,11,225,30,25,178,228,730,204,74,8,35,187,201,1
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,1
89,44,80,191,66,6,162,40,20,143,189,396,180,66,13,11,194,199,1
105,55,96,181,56,9,219,30,25,175,231,713,216,74,4,5,187,194,1
99,50,88,204,64,10,185,35,22,159,209,517,193,66,12,11,194,201,1
95,46,105,219,68,9,201,33,23,148,223,602,201,69,5,38,191,202,1
97,48,105,212,64,11,201,33,23,155,212,602,162,64,2,7,193,202,1
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,1
99,57,100,177,54,13,224,30,25,188,223,726,213,72,4,7,185,198,1
85,40,66,121,52,4,152,44,19,133,170,340,163,87,13,3,180,183,1
87,44,98,211,70,10,189,35,22,141,214,535,178,71,2,21,187,194,1
97,55,103,197,63,11,215,31,24,172,219,677,219,75,5,24,185,194,1
100,51,104,163,52,10,206,32,23,164,217,631,193,69,5,21,188,196,1
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,2
89,42,80,151,62,6,144,46,19,139,166,308,170,74,17,13,185,189,2
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,2
98,48,101,203,65,9,197,33,23,152,216,584,174,68,2,5,189,197,2
88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180,184,2
86,36,78,146,58,7,135,50,18,124,155,270,148,66,0,25,190,195,2
98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191,199,2
100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198,207,2
106,48,107,202,61,10,207,32,24,153,227,635,200,70,5,28,190,203,2
95,46,104,208,66,9,191,35,22,148,210,543,169,68,0,28,190,200,2
97,41,88,184,59,9,175,38,21,140,192,459,147,63,1,5,196,205,2
85,40,66,136,58,6,142,48,19,137,164,295,164,77,2,22,182,186,2
104,53,108,206,61,11,217,31,24,168,226,694,209,67,0,9,188,201,2
91,39,83,176,59,7,169,39,20,132,190,426,142,67,0,24,192,199,2
105,54,100,220,69,10,221,30,25,170,232,718,202,73,0,13,187,199,2
89,40,89,174,58,8,177,37,21,133,202,471,155,70,7,18,189,196,2
112,50,104,197,58,11,208,32,24,159,223,639,186,67,15,22,191,202,2
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,2
